Название;Категория;Цель;Противопоказания;Тип питания;Ссылка на WB;Ссылка на kultlab.ru;артикулы;способ применения ;описание
"Kultlab L-Lysine, 100капс";Аминокислоты отдельные;Аминокислоты;"Индивидальная непереносимость, беременность, возраст до 12 лет.
";;;https://kultlab.ru/catalog/aminokisloty-otdelnye/kultlab-l-lysine-100-kaps/;;L-Лизин принимать по 1 капсуле 1-3 раза в день между приёмами пищи. В период ремиссии герпетической инфекции - 1250 мг ежедневно. При рецидивах - 2000-3000 мг/сутки. В спорте рекомендован приём 12 мг на килограмм веса. При длительном употреблении L-Лизин не накапливается и не оказывает токсического действия на организм - он используется в качестве источника энергии. Избыток L-Лизина выводится с мочой.;"Размер одной порции                                        : 1 капсулаL-ЛИЗИН - незаменимая аминокислота и строительный блок всех белков. Незаменим при синтезе мышечных волокон и формировании мышечной ткани.Является основой для синтеза аминокислоты Карнитин. Обладает противовирусным действием, особенно в отношении вирусов герпеса.L-Лизин является мощным источником энергии, так как он участвует в расщеплении жиров, которые являются ""топливом"" для организма. Обеспечивает мобилизацию жира для энергетических нужд.Рекомендации по применению:L-Лизин принимать по 1 капсуле 1-3 раза в день между приёмами пищи. В период ремиссии герпетической инфекции - 1250 мг ежедневно. При рецидивах - 2000-3000 мг/сутки. В спорте рекомендован приём 12 мг на килограмм веса. При длительном употреблении L-Лизин не накапливается и не оказывает токсического действия на организм - он используется в качестве источника энергии. Избыток L-Лизина выводится с мочой.iИндивидальная непереносимость, беременность, возраст до 12 лет."
"Kultlab Taurine 500 мг, 90 капс";Аминокислоты отдельные;Аминокислоты;"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/aminokisloty-otdelnye/kultlab-taurine-500-mg-90-kaps/;;"Принимать по 1 капсуле 1-4 раза в день, запивая соком или водой, желательно между приемами пищи.
";"Размер одной порции                                        : 1 капсулаТаурин от Kultlab - условно незаменимая аминокислота, которая не используется для синтеза белка, однако главным образом обнаруживается в свободной форме в большинстве тканей, особенно в нервной системе. Этот элемент стабилизирует клеточные мембраны тканей, облегчая процесс перемещения калия, натрия, кальция и магния в клетках и за их пределами. Таурин способствует генерации и регуляции нервнх импульсов, а также обеспечивает поддержку нормального водного баланса. Кроме того, эта аминокислота используется в зрительных путях, а также в мозговой и нервной системах, где совместно с глицином и ГАМК выступает в роли нейромедиатора.Рекомендации по применению:Принимать по 1 капсуле 1-4 раза в день, запивая соком или водой, желательно между приемами пищи.iИндивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом."
"Kultlab Габа 500 мг, 90 капс";Аминокислоты отдельные;Аминокислоты;"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/aminokisloty-otdelnye/kultlab-gaba-500-mg-90-kaps/;;Принимать 3 капсулы за 20 минут до сна;"Размер одной порции                                        : Принимать по 3 капсулы на ночь за 30 мин. до сна. Может вызывать легкие покалывания по телуGABA (ГАМК - Гамма аминомасляная кислота) - ноотропное средство, восстанавливает процессы метаболизма в головном мозге, способствует утилизации глюкозы мозгом и удалению из него токсичных продуктов обмена. Повышает продуктивность мышления, улучшает память, благоприятно влияет на восстановление движений и речи после нарушения мозгового кровообращения.Показания к применению:• Остаточные явления черепно-мозговой травмы;• Инсульт;• Цереброваскулярная недостаточность;• Дисциркулярная энцефалопатия;• Нарушения памяти, внимания, речи;• Головокружения и головная боль;• Алкогольная энцефалопатия;• Алкогольная полиневропатия;• Детский целебральный паралич;• Последствия черепно-мозговой родовой травмы у детей;• Умственная отсталость;• Симптомокомплекс укачивания (морская и воздушная болезнь)."
"Kultlab Glutamine Без вкуса, 300 гр";Глютамин;Аминокислоты;"Индивидуальная непереносимость компонентов продукта. Перед применением необходимо проконсультироваться с врачом. Продукт не является лекарственным средством. Не рекомендуется использовать детям до 18 лет, беременным и кормящим женщинам.
";;;https://kultlab.ru/catalog/glyutamin/kultlab-glutamine-bez-vkusa-300-gr/;;"Принимайте по одной чайной ложке (5гр) 1-2 раза в день, обильно запивая водой.";"Размер одной порции                                        : 2 мерные ложки 5 граммKultlab Glutamine - прекрасная спортивная добавка, которая позволит набрать мышечную массу и ослабить разрушаюшее воздействие кортизола. В составе этого попрошка нет ничего лишнего - на 5 грамм порошка приходится 5 грамм чистого глютамина!Одной из главных функций глютамина является возможность замены любой другой аминокислоты в организме при ее недостатке. Именно поэтому на суммарное количество всех аминокислот в организме 20% составляет глютамин. Кроме того, он помогает улучшить синтез белка в организме.Рекомендации по применению:Принимайте по одной чайной ложке (5гр) 1-2 раза в день, обильно запивая водой.Перед употреблением проконсультируйтесь со специалистом.iИндивидуальная непереносимость компонентов продукта. Перед применением необходимо проконсультироваться с врачом. Продукт не является лекарственным средством. Не рекомендуется ¶использовать детям до 18 лет, беременным и кормящим женщинам."
"Kultlab Glutamine Без вкуса, 500 гр";Глютамин;Аминокислоты;"Индивидуальная непереносимость компонентов продукта. Перед применением необходимо проконсультироваться с врачом. Продукт не является лекарственным средством. Не рекомендуется использовать детям до 18 лет, беременным и кормящим женщинам.
";;;https://kultlab.ru/catalog/glyutamin/kultlab-glutamine-bez-vkusa-500-gr/;;"Принимайте по одной чайной ложке (5гр) 1-2 раза в день, обильно запивая водой.
";"Размер одной порции                                        : 2 мерные ложки / 5 граммKultlab Glutamine - прекрасная спортивная добавка, которая позволит набрать мышечную массу и ослабить разрушаюшее воздействие кортизола. В составе этого попрошка нет ничего лишнего - на 5 грамм порошка приходится 5 грамм чистого глютамина!Одной из главных функций глютамина является возможность замены любой другой аминокислоты в организме при ее недостатке. Именно поэтому на суммарное количество всех аминокислот в организме 20% составляет глютамин. Кроме того, он помогает улучшить синтез белка в организме.Рекомендации по применению:Принимайте по одной чайной ложке (5гр) 1-2 раза в день, обильно запивая водой.Перед употреблением проконсультируйтесь со специалистом.iИндивидуальная непереносимость компонентов продукта. Перед применением необходимо проконсультироваться с врачом. Продукт не является лекарственным средством. Не рекомендуется ¶использовать детям до 18 лет, беременным и кормящим женщинам."
"Kultlab Glutamine Bag, 300 гр
";Глютамин;Аминокислоты;"Перед употреблением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/glyutamin/kultlab-glutamine-bag-300-gr/;;"Принимайте по одной чайной ложке (5гр) 1-2 раза в день, обильно запивая водой.
";"Размер одной порции                                        : 2 мерные ложки 5 граммKultlab Glutamine - прекрасная спортивная добавка, которая позволит набрать мышечную массу и ослабить разрушаюшее воздействие кортизола. В составе этого попрошка нет ничего лишнего - на 5 грамм порошка приходится 5 грамм чистого глютамина!Одной из главных функций глютамина является возможность замены любой другой аминокислоты в организме при ее недостатке. Именно поэтому на суммарное количество всех аминокислот в организме 20% составляет глютамин. Кроме того, он помогает улучшить синтез белка в организме.Рекомендации по применению:Принимайте по одной чайной ложке (5гр) 1-2 раза в день, обильно запивая водой.Перед употреблением проконсультируйтесь со специалистом."
"Kultlab Citrulline Malate, 200 гр
";"Цитрулин
";Аминокислоты;Перед употреблением проконсультироваться со специалистом.;;;https://kultlab.ru/catalog/tsitrulin/kultlab-citrulline-malate-200-gr/;;"Принимайте по 1 мерной ложке (2 гр) 2-3 раза в день, обильно запивая водой";"Размер одной порции                                        : по 1.85 гр порошка (0.5 мерной ложки) 1 раз в день, запивая водой или сокомCITRULLINE MALATE / ЦИТРУЛЛИН - аминокислота, которая не входит в состав строительных белков, однако имеет большое число физиологических эффектов:• Цитруллин укрепляет имунную функцию и увеличивает энергетический потенциал организма.• Цитруллин встречается в специализированных энзимах, входит в состав кожи, волос и оболочки нервов.• Цитруллин необходим для поддержания азотистого баланса в организме.• Из цитруллина может образовываться аргинин - основной донатор азота, который улучшает кровоток в мышцах.• Повышает выносливость и улучшает питание мышц.Рекомендации по применению:Принимайте по 1 мерной ложке (2 гр) 2-3 раза в день, обильно запивая водой. Перед употреблением проконсультироваться со специалистом."
"Big Pig Комбивит For Women, 60 капс";Витамины и минералы;для женщин;"Индивидуальная непереносимость препарата. Перед началом следует проконсультироваться у специалиста. Продукт не является лекарственным средством.
";;;https://kultlab.ru/catalog/vitaminy-dlya-zhenshchin/big-pig-kombivit-for-women-60-kaps/;;;"Размер одной порции                                        : 2 капсулыЖенский комбивит- это специально разработанный состав для женского организма, включающийв себя не только витамины и минералы, но и комплекс веществ для укрепления волос и кожи. Аименно гидролизованный коллаген, гиалуроновая кислота, коэнзим Q-10.iИндивидуальная непереносимость препарата. Перед началом следует


проконсультироваться у специалиста. Продукт не является лекарственным средством."
"Kultlab Men's Daily, 120 капc
";Витамины и минералы;для мужчин;"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;https://www.wildberries.ru/catalog/255366980/detail.aspx;https://kultlab.ru/catalog/vitaminy-dlya-muzhchin/kultlab-men-s-daily-120-kapc/;;"Принимать по 1 капсулы 1 раз в день во время еды. Для лучшего эффекта и для людей занимающихся спортом принимать по 4 капсулы в день, 2 капс 2 раза в день.";"Размер одной порции                                        : принимать по 1 капсулы 1 раз в день во время еды. 
Для лучшего эффекта и для людей занимающихся спортом принимать по 4 капсулы в день, 2 капс 2 раза в день.Men's daily - витаминно-минеральный комплекс для мужчин, специально разработанный в лаборатории ""КультЛаб"". 41 необходимый элемент позволяет сделать этот состав максимально эффективным для мужского организма.Точно выверенная дозировка способствует укреплению иммунитетаУлучшению работы ЖКТ и сердечно-сосудистой системыОказывает положительное влияние на укрепление мужского здоровьяувеличивает физическую и умственную работоспособность.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab Daily Complex, 100 капс
";Витамины и минералы;"Мультивитаминные комплексы
";"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом
";;https://www.wildberries.ru/catalog/210808912/detail.aspx;https://kultlab.ru/catalog/multivitaminnye-kompleksy/kultlab-daily-complex-100-kaps/;;1 капсула в день во время еды. Подходит для ежедневного применения.;"Размер одной порции                                        : по 1 капсуле в день во время едыВитаминный комплекс Kultlab Daily Complex на 100% восполняют суточную потребность организма в микроэлементах, что фактически делает тебя неуязвимым перед вирусами, инфекциями и авитаминозом.Комплекс идеально подходит для людей, ведущих спортивный образ жизни, либо занятых тяжелым физическим и умственным трудом.Kultlab Daily Complex:- регулирует обменные процессы- поддерживает функцию кроветворения, секрецию гормонов и - нормальную работу иммунной системы;- замедляет процесс старения;- поддерживает эмоциональное здоровье;- оказывает мощное антиоксидантное воздействие.Комплекс Kultlab Daily Complex помогает поддерживать баланс микроэлементов, обеспечивает хорошее самочувствие и высокий уровень работоспособности.Рекомендации по применению: 1 капсула в день во время еды. Подходит для ежедневного применения.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab Vitamin B complex, 100 капc
";Витамины и минералы;"Отдельные витамины
";"Индивидуальная непереносимость компонентов, перед началом применения следует проконсультироваться с врачом.
";;;https://kultlab.ru/catalog/vitaminy-otdelnye/kultlab-vitamin-b-complex-100-kapc/;;"Принимайте по 2 капсулы в день, желательно вместе с приёмом пищи.";"Размер одной порции                                        : 2 капсулыVitamin B complex содержит необходимую для вашего организма суточную дозу важнейших витаминов группы B, необходимых для нормального течения метаболизма жиров, углеводов и протеинов.Рекомендации по применению:
Принимайте по 2 капсулы в день, желательно вместе с приёмом пищи.iИндивидуальная непереносимость компонентов, перед началом применения следует проконсультироваться с врачом."
"Kultlab Biotin, 60 капс
";Витамины и минералы;"Отдельные витамины
";"Индивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.
";;;https://kultlab.ru/catalog/vitaminy-otdelnye/kultlab-biotin-60-kaps/;;Принимать по 1 капсуле в день во время еды.;"Размер одной порции                                        : 1 капсулаБиотин от Kultlab - это растворимый в воде витамин, необходимый для нормального роста и функционирования организма. Биотин работает как основной регулирующий элемент, участвующий в гликонеогенезе, синтезе жирных кислот и метаболизме некоторых аминокислот. Наряду с участием в выработке энергии, биотин укрепляет имунную систему и играет важную роль в поддержании здоровья кожи.- Играет ключевую роль в метаболизме макронутриентов- Важен для здоровья ногтей- Важен для состояния волос- Играет важную роль во время беременности и грудного вскармливания- Способен снизить уровень глюкозы в крови пациентов с сахарным диабетом- Важен для кожи- Играет роль при лечении рассеянного склерозРекомендации по применению:принимать по 1 капсуле в день во время еды.iИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом."
"Kultlab Vitamin A 10000 МЕ, 60 капс
";Витамины и минералы;"Отдельные витамины
";"Индивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом.
";;;https://kultlab.ru/catalog/vitaminy-otdelnye/kultlab-vitamin-a-10000-me-60-kaps/;;Принимать  1-2 капсулы в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторить;"Размер одной порции                                        : 1 капсулаВитамин А содержит каротиноиды, которые защищают организм от окисления, вызываемого свободными радикалами. Ученые связали окислительный стресс с потенциально смертельными состояниями, такими как болезни сердца, нейродегенеративные заболевания и диабет. Исследования показывают, что каротиноиды улучшают здоровье сердечно-сосудистой и нервной системы.Ретинол необходим для функционирования бета-клеток поджелудочной железы, которые отвечают за выработку инсулина. Его дефицит приводит к избытку глюкозы в крови.Витамин А нужен для:-поддержания слизистого барьера;-усвоения витамина D;-предотвращения инфекционных заболеваний;-выработки лейкоцитов, которые являются первой линией защиты иммунной системы;-поддержания широкого спектра физиологических функций в организме;-улучшения состояния головного мозга, зубов, костей;-образования гормонов;-защиты кожи от воздействия ультрафиолета;-снижения риска злокачественных процессов.Рекомендации по применению:Принимать  1-2 капсулы в день во время еды. Продолжительность приема - 1 месяц. При необходимости прием можно повторитьiИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом."
"Kultlab Vitamin D3, 100 капс
";Витамины и минералы;Витамин D;"Индивидуальная непереносимость препарата, беременность. Перед началом применения следует проконсультироваться с врачом.
";;https://www.wildberries.ru/catalog/50407124/detail.aspx;https://kultlab.ru/catalog/vitamin-d/kultlab-vitamin-d-100-kaps/;;"Принимайте по 1 капсуле в день, желательно вместе с приёмом пищи.";"Размер одной порции                                        : 1 капсулаВитамин D3 от KultLab уникален - он одновременно действует и как витамин, и как гормон. Как витамин он поддерживает уровень фосфора и кальция в плазме крови и повышает всасывание кальция в тонкой кишке.• способствует минерализации костей, формированию костного скелета и зубов у детей;• гипо- и авитаминоз витамина D (профилактика и лечение);• помогает обеспечить здоровье простаты;• для здоровья иммунной системы, кишечника и сердца;• обеспечивает всасывание кальция из продуктов питания.Рекомендации по применению:Принимайте по 1 капсуле в день, желательно вместе с приёмом пищи.iИндивидуальная непереносимость препарата, беременность. Перед началом применения следует проконсультироваться с врачом."
"Kultlab Vitamin D3 Softgels, 100 капс
";Витамины и минералы;Витамин D;"Индивидуальная непереносимость препарата, беременность. Перед началом применения следует проконсультироваться с врачом.
";;https://www.wildberries.ru/catalog/167116779/detail.aspx;https://kultlab.ru/catalog/vitamin-d/kultlab-vitamin-d3-softgels-100-kaps/;;"Принимать по 1 капсуле 1-2 раза в день, вместе с приемом пищи.";"Размер одной порции                                        : 1 капсулаВитамин D3 от Kultlab - участвует в работе всех органов и систем, действуя как витамин и гормон одновременно.- Обеспечивает всасывание кальция и фосфора в тонком кишечнике- Участвует в метаболизме- Укрепляет имунную систему- Улучшает состояние костной тканиРекомендации по приему: принимать по 1 капсуле 1-2 раза в день, вместе с приемом пищи.iИндивидуальная непереносимость препарата, беременность, период лактации.Перед началом приема, проконсультируйтесь с врачом. Продукт не является лекарственным средством."
"Kultlab Iron, 90 капс
";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом.
";;https://www.wildberries.ru/catalog/140799036/detail.aspx;https://kultlab.ru/catalog/mineraly-otdelnye/kultlab-iron-90-kaps/;;"Принимать по 1-3 капсулы в день во время еды.
";"KULTLAB IRON - железо важный компонент гемоглобина и играет особую роль в производстве кровяных клеток. Железо участвует во многих жизненных функциях организма, таких как общая энергия и концентрация, работа желудочно-кишечного тракта и иммунной системы.Принимать по 1-3 капсулы в день во время еды.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом."
"Kultlab Potassium & Magnesium Citrate + B6, 60 капс
";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;https://www.wildberries.ru/catalog/140797585/detail.aspx;https://kultlab.ru/catalog/mineraly-otdelnye/kultlab-potassium-magnesium-citrate-60-kaps-/;;"принимать по 2 капсуле 2 раза в день.
";"Размер одной порции                                        : Принимать по 2 капсулы 2 раза в день во время едыМагний и Калий от Kultlab - два минерала, котрые содержатся в организме и играют ключевую роль в здоровье клеток и тканей.Они имеют особо важное значение для сохранения здоровья сердца, нормальной работы сосудов, передачи нервных импульсов и сокращения мыщц. Играет роль в регуляции нормального баланса электролитов и нейромедиаторов.Рекомендации по применению:принимать по 2 капсуле 2 раза в день.iИндивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом."
"Kultlab Potassium & Magnesium Citrate + B6, 120 капс";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;https://www.wildberries.ru/catalog/247546090/detail.aspx;;;"принимать по 2 капсуле 2 раза в день.
";
"Kultlab Магний цитрат 253 мг + B6, 60 капс
";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;https://www.wildberries.ru/catalog/152241652/detail.aspx;https://kultlab.ru/catalog/mineraly-otdelnye/kultlab-magniy-tsitrat-253-mg-b6-60-kaps/;;По 2-4 капсулы в день за 30 минут до еды. Продолжительность приема 1 месяц;"Размер одной порции                                        : Порция от 2-х до 4-х капсулМагний от Kultlab - это минерал, который имеет решающее значение для выработки энергии и обмена веществ, сокращения мыщц, передачи импульсов и минерализации костей. Он необходим для образования примерно 300 ферментов. Эти ферменты стимулируют такие процессы, как синтез жирных кислот, синтез белков и усвоение глюкозы. Поддержание нормального уровня магния в организме очень важно для кальциевого обмена, так как он учавствует в работе околощитовидной железы."
"Kultlab Magnesium Citrate + B6, 120 капс
";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/mineraly-otdelnye/kultlab-magnesium-citrate-300-mg-120-kaps/;;по 2 капсулы 2 раза в день;"Размер одной порции                                        : по 2 капсулы 2 раза в деньМагний от Kultlab - это минерал, который имеет решающее значение для выработки энергии и обмена веществ, сокращения мыщц, передачи импульсов и минерализации костей. Он необходим для образования примерно 300 ферментов. Эти ферменты стимулируют такие процессы, как синтез жирных кислот, синтез белков и усвоение глюкозы. Поддержание нормального уровня магния в организме очень важно для кальциевого обмена, так как он учавствует в работе околощитовидной железы.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab Калий цитрат 543 мг, 60 капс
";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;https://www.wildberries.ru/catalog/144268782/detail.aspx;https://kultlab.ru/catalog/mineraly-otdelnye/kultlab-potassium-citrate-300-mg-60-kaps/;;принимать по 2 капсулы в день за 30 минут до еды.;"Размер одной порции                                        : 2 капсулы в день во время едыКалий от Kultlab - важный минерал, который встречается во многих продуктах питания. Самое большое количество калия содержится в овощах и фруктах. Этот элемент необходим для сохранения баланса жидкости на уровне клеток и всего организма, а также для поддержания кислотно-щелочного баланса. Кроме того, калий требуется для обеспечения нормальной мышечной деятельности, поддержки работы сердца и передачи нервных импульсов. Калий цитрат хорошо усваивается и отличается более высокой биодоступностью по сравнению с обычным калием.Рекомендации по применению:принимать по 2 капсулы в день за 30 минут до еды.iИндивидуальная непереносимость. Перед применением необходимо проконсультироваться со специалистом."
"Kultlab Selenium, 60 капс
";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/mineraly-otdelnye/kultlab-selenium-60-kaps/;;1 капсула 2 раза в день во время еды.;"Размер одной порции                                        : 1 капсула 2 раза в день во время еды.Селен - микроэлемент, достаточное потребление и усвоение которого является необходимым условием для адекватного функционирования иммунитета, синтеза гормонов щитовидной железы и репродуктивной системы.iИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab Copper, 60 капс
";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/mineraly-otdelnye/kultlab-copper-60-kaps/;;;"Размер одной порции                                        : 1 капсулаМедь является необходимым микроэлементом для жизнедеятельности человеческого организма. Медь играет важную роль в нормализации уровня гемоглобина и формировании эритроцитов. Способствует образованию коллагена и эластина, поддерживает прочность сосудов, эластичность и упругость кожи, сохраняет цвет волос, укрепляет кости. Учавствует в работе ферментов, усиливает иммунитет. Обеспечивает нормальное функционирование нервной системыiИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab Calcium Citrate 2000 мг & Vitamin D3 600 МЕ, 120 капс
";Витамины и минералы;"Минералы отдельные
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;https://www.wildberries.ru/catalog/229639342/detail.aspx;https://kultlab.ru/catalog/mineraly-otdelnye/kultlab-calcium-citrate-600-mg-vitamin-d3-60-kaps/;;принимать по 2 капсулы 2 раза в день;"Размер одной порции                                        : принимать по 2 капсулы 2 раза в деньКальций - необходим для здоровья зубов, ногтей, волос, для мышечных сокращений, для синтеза ряда гормонов. Витамин D3, защищая нервную систему, помогает усваивать кальций и усиливает его действие на организмiИндивидуальная непереносимость компонентов добавки. Перед применением проконсультируйтесь с врачом"
"Kultlab Vitamin C 650 мг, 100 капс
";Витамины и минералы;"Витамин C
";"Индивидуальная непереносимость, беременность, возраст до 12 лет.
";;https://www.wildberries.ru/catalog/16783900/detail.aspx;https://kultlab.ru/catalog/vitamin-c/kultlab-vitamin-c-650-mg-100-kaps/;;Принимайте по одной капсуле в день во время еды.;"Размер одной порции                                        : 1 капсулаVitamin C - Витамин С необходим для производства коллагена, карнитина и некоторых нейротранссмиттеров, он участвует в метаболизме протеина. Аскорбиновая кислота является также важным антиоксидантом, поскольку борется с воздействием свободных радикалов, разрушающих наши клетки.В дополнение к своим биосинтетическим и антиокислительным функциям, он играет определяющую роль в поддержании иммунной системы организма и улучшает усвоение железа. Витамин С обеспечивает проницаемость стенок капилляров, поддерживает их эластичность и прочность, участвует в выработке гормонов, способствует укреплению костной и зубной ткани.Рекомендации по применению:Принимайте по одной капсуле в день во время еды.iИндивидуальная непереносимость, беременность, возраст до 12 лет."
"Kultlab Vitamin C Sodium Ascorbate, 100 капс
";Витамины и минералы;"Витамин C
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/vitamin-c/kultlab-sodium-ascorbate-100-kaps/;;принимать по 1-2 капсулы в день.;"Размер одной порции                                        : 1 капсулаАскорбат натрия (Витамин С) - это не горький, не кислый, забуференный витамин С в хорошо растворимой форме. Он необходим ждя производства коллагена(структурного белка, необходимого для здоровья соединительных тканей) и поэтому важен для здоровья кожи, костей и суставов. Он также необходим для метаболизма аминокислот, синтеза нейромедиаторов и усвоения многих питательных веществ, таких как фолиевая кислота и железо.Рекомендации по употреблению:принимать по 1-2 капсулы в день.iИндивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом."
"Kultlab Sodium Ascorbate, 100 гр
";Витамины и минералы;"Витамин C
";"Индивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом.
";;;https://kultlab.ru/catalog/vitamin-c/kultlab-sodium-ascorbate-100-gr/;;в качестве пищевой добавки развести 1/4 чайной ложки в стакане сока или воды. принимать во время еды или на тощак.;"Размер одной порции                                        : 1/4 чайной ложки(1,25 г)Аскорбат натрия (Витамин С) - это не горький, не кислый, забуференный витамин С в хорошо растворимой форме. Он необходим ждя производства коллагена(структурного белка, необходимого для здоровья соединительных тканей) и поэтому важен для здоровья кожи, костей и суставов. Он также необходим для метаболизма аминокислот, синтеза нейромедиаторов и усвоения многих питательных веществ, таких как фолиевая кислота и железо.Рекомендации по употреблению:в качестве пищевой добавки развести 1/4 чайной ложки в стакане сока или воды. принимать во время еды или на тощак.iИндивидуальная непереносимость компонентов продукта. Перед применением проконсультируйтесь со специалистом."
"Kultlab Collagen Powder, 200 гр
Черная смородина";Для связок и суставов;Коллаген;"Индивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;https://www.wildberries.ru/catalog/34332305/detail.aspx;https://kultlab.ru/catalog/kollagen/kultlab-collagen-powder-200-gr/;;Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.;"Размер одной порции                                        : 2 мерные ложки / 5,5 граммВ нашем организме около 25% коллагена, он играет важную роль в функционировании нашего организма. С годами синтез коллагена снижается.Это приводит организм к старению, появляются морщины, целлюлит, сухость кожи.Так же коллаген очень важен для вашей иммунной системы.Все эти проблемы может решить Collagen Powder, он является продуктом на основе легко усваиваемого гидролизата коллагена с добавлением витаминов и минералов:- кальция;- магния;- витаминов С и В6.Рекомендации по применению:Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.iИндивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab Collagen Powder, 200 гр
Апельсин";Для связок и суставов;Коллаген;"Индивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;https://www.wildberries.ru/catalog/34332305/detail.aspx;https://kultlab.ru/catalog/kollagen/kultlab-collagen-powder-200-gr/;;Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.;"Размер одной порции                                        : 2 мерные ложки / 5,5 граммВ нашем организме около 25% коллагена, он играет важную роль в функционировании нашего организма. С годами синтез коллагена снижается.Это приводит организм к старению, появляются морщины, целлюлит, сухость кожи.Так же коллаген очень важен для вашей иммунной системы.Все эти проблемы может решить Collagen Powder, он является продуктом на основе легко усваиваемого гидролизата коллагена с добавлением витаминов и минералов:- кальция;- магния;- витаминов С и В6.Рекомендации по применению:Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.iИндивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
"Kultlab Collagen Powder, 200 гр
Натуральный";Для связок и суставов;Коллаген;"Индивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом.
";;https://www.wildberries.ru/catalog/34332305/detail.aspx;https://kultlab.ru/catalog/kollagen/kultlab-collagen-powder-200-gr/;;Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.;"Размер одной порции                                        : 2 мерные ложки / 5,5 граммВ нашем организме около 25% коллагена, он играет важную роль в функционировании нашего организма. С годами синтез коллагена снижается.Это приводит организм к старению, появляются морщины, целлюлит, сухость кожи.Так же коллаген очень важен для вашей иммунной системы.Все эти проблемы может решить Collagen Powder, он является продуктом на основе легко усваиваемого гидролизата коллагена с добавлением витаминов и минералов:- кальция;- магния;- витаминов С и В6.Рекомендации по применению:Смешайте 1-2 порции (5.5 г) с 250-300 мл воды или другого напитка.iИндивидуальная непереносимость компонентов продукта, беременность, наличие болезней почек или печени. Перед применением рекомендуется проконсультироваться с врачом."
